Code,Title,Points1,Points2,Year
GY515,General Nursing (Galway and Portiuncula),473,496,2020
GY516,Mental Health Nursing,440,467,2020
GY517,Midwifery,495,518,2020
ID001,Accounting and Finance,203,253,2020
ID002,Business Studies,294,309,2020
LC110,"Art and Design (Common Entry, portfolio)",740,961,2020
LC114,Fashion and Textiles for Product and Costume (portfolio),880,1029,2020
LC115,Art and Design Teacher Education (portfolio),942,1013,2020
LC220,Digital Marketing,262,298,2020
LC223,Law and Taxation,307,356,2020
LC224,Accounting and Finance,300,371,2020
LC225,Marketing and Management,298,358,2020
LC226,Enterprise and Innovation,234,310,2020
LC233,Software Development,272,339,2020
LC234,Interactive Digital Media,225,307,2020
LC236,Internet Systems Development,260,272,2020
LC239,Computer Networks and Systems Management,309,371,2020
LC241,Construction Management,255,338,2020
LC242,Property Valuation and Management,282,320,2020
LC243,Quantity Surveying,298,362,2020
LC248,Built Environment (Common Entry),288,376,2020
LC252,Civil Engineering Management,270,308,2020
LC263,Clinical Technology,294,359,2020
LC265,Forensic and Pharmaceutical Sciences,413,476,2020
LC266,Drug and Medicinal Product Analysis,262,300,2020
LC275,Electrical Engineering,298,384,2020
LC288,Mechanical Engineering,346,415,2020
LC289,Precision Engineering,291,350,2020
LC292,Social Care Work,367,389,2020
LC293,Business Studies with Travel and Tourism Management,307,356,2020
LC294,Business Studies with Event Management,279,347,2020
LC295,Business Studies with Sports Management,252,313,2020
LC297,Community Development,235,298,2020
LC320,Business,346,388,2020
LC330,Business with Computing,297,378,2020
LC340,Interior Design,350,391,2020
LC362,Biotechnology and Biopharmaceutical Sciences,413,440,2020
LC371,Creative Broadcast and Film Production,309,378,2020
LC372,Music Technology and Production,325,402,2020
LC374,Renewable and Electrical Energy Engineering,318,410,2020
LC375,Industrial Automation and Robotic Systems,317,392,2020
LC376,Electronic Engineering,318,358,2020
LC380,Automotive Engineering and Transport Management,298,337,2020
LC392,Business Studies in Beauty and Spa Management,236,328,2020
LC393,Early Childhood Education and Care,236,307,2020
LC401,Early Childhood Education and Care,297,298,2020
LC402,Social Care Work,225,288,2020
LC408,Environmental Science and Climate,279,348,2020
LC414,Data Analytics and Cyber Security,236,336,2020
LC416,Business,274,391,2020
LC418,Computing - Games Design and Development,270,338,2020
LC422,Sports Strength and Conditioning,298,347,2020
LC434,Environmental Science and Agriculture,297,349,2020
LC502,Game Art and Design (portfolio),852,1024,2020
LC517,Creative Media and Design,234,327,2020
LC518,Digital Animation Production (portfolio),808,939,2020
LC612,Social Care Work,320,343,2020
LC613,Early Childhood Education and Care,242,327,2020
LM002,Arts,348,410,2020
LM020,Law and Accounting,465,499,2020
LM026,Performing Arts (audition required),303,401,2020
LM028,Criminal Justice,418,440,2020
LM029,Law Plus,490,521,2020
LM038,Psychology and Sociology,500,507,2020
LM039,Journalism and Digital Communication,402,455,2020
LM040,European Studies,369,488,2020
LM044,Applied Languages,442,499,2020
LM050,Business Studies (options),431,476,2020
LM056,International Business,528,555,2020
LM058,Financial Mathematics,403,521,2020
LM063,Technology Management,379,419,2020
LM068,Food Science and Health,421,454,2020
LM076,Product Design and Technology (portfolio required),408,487,2020
LM077,Aeronautical Engineering,520,554,2020
LM082,Construction Management and Engineering,398,434,2020
LM089,Sport and Exercise Sciences,474,489,2020
LM090,Physical Education with concurrent Teacher Education,532,565,2020
LM091,Languages with concurrent Teacher Education,517,543,2020
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,531,2020
LM093,Equine Science,339,412,2020
LM094,Materials and Architectural Technology with concurrent Teacher Education,440,478,2020
LM095,Materials and Engineering Technology with concurrent Teacher Education,367,421,2020
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,454,2020
LM097,Mathematics and Computer Science with concurrent Teacher Education,402,509,2020
LM099,Architecture (portfolio requirement suspended),498,532,2020
LM100,Physiotherapy,589,601,2020
LM101,Medicine  - Graduate Entry (GAMSAT required),55,57,2020
LM102,Psychology,509,529,2020
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,445,2020
LM115,Chemical and Biochemical Engineering,454,532,2020
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,521,2020
LM118,Electronic and Computer Engineering,403,489,2020
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,423,2020
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,401,2020
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,478,2020
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,509,2020
LM125,Physics (Applied Physics or Mathematics & Physics),404,520,2020
LM150,General Nursing,475,498,2020
LM152,Mental Health Nursing,419,430,2020
LM154,Intellectual Disability Nursing,440,473,2020
LM156,Midwifery,469,499,2020
LY108,Business - Accounting,309,431,2020
LY118,Business,290,377,2020
LY208,Law,300,367,2020
LY228,Sports and Exercise - Common Entry,300,367,2020
LY408,Design - Common Entry,320,381,2020
LY508,Fire Safety Engineering,276,326,2020
LY518,Quantity Surveying,301,368,2020
LY528,Construction Management,271,321,2020
LY608,Mechanical Engineering,300,379,2020
LY618,Electronic Engineering,312,402,2020
LY708,Applied Computing,306,372,2020
LY748,Computer Science,317,420,2020
LY818,Science - Common Entry,303,409,2020
LY828,Agriculture - Common Entry,307,351,2020
LY908,General Nursing,400,423,2020
LY918,Psychiatric Nursing,357,387,2020
LY928,Intellectual Disability Nursing,328,346,2020
LY968,"Early Childhood Care, Health and Education",303,361,2020
LY978,Health & Social Care - Common Entry,280,330,2020
MH001,Education - Primary Teaching (Froebel),507,531,2020
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,2020
MH101,Arts,318,388,2020
MH103,Music,,,2020
MH106,Psychology - 3 years,521,529,2020
MH107,Social Science,346,388,2020
MH109,Media Studies,316,377,2020
MH116,Community and Youth Work (Full-Time),,,2020
MH201,Science,360,418,2020
MH202,Biotechnology,455,466,2020
MH203,Biological and Geographical Sciences,430,465,2020
MH204,Physics with Astrophysics,422,479,2020
MH206,Theoretical Physics and Mathematics,510,533,2020
MH207,Data Science,445,520,2020
MH208,Biological and Biomedical Sciences,498,510,2020
MH209,Psychology (through Science) - 4 years,498,510,2020
MH210,Pharmaceutical and Biomedical Chemistry,487,520,2020
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,487,2020
MH304,Engineering (Computer/Electronic/Communications),333,444,2020
MH305,Product Design,357,409,2020
MH306,Robotics and Intelligent Devices,361,433,2020
MH401,Finance (options),357,398,2020
MH402,Quantitative Finance,476,509,2020
MH403,Accounting and Finance,422,468,2020
MH404,Business (options),430,454,2020
MH405,Equine Business,357,408,2020
MH407,Business and Accounting,420,462,2020
MH411,Entrepreneurship,371,408,2020
MH501,LLB Law - four year Single Major Law programme,473,495,2020
MH502,Law (options),451,473,2020
MH601,Computer Science through Arts (options),352,403,2020
MH602,Computer Science through Science (options),351,409,2020
MH603,Computational Thinking,532,544,2020
MH801,Early Childhood - Teaching and Learning (part-time),327,378,2020
MH802,"Community and Youth Work (part-time, in service)",,,2020
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,2020
MI001,Contemporary & Applied Theatre Studies,390,412,2020
MI002,Arts,281,389,2020
MI004,Education - Primary Teaching - International,577,589,2020
MI005,Education - Primary Teaching,495,521,2020
MI006,Education - Primary Teaching - Gaeltacht Applicants,462,519,2020
MI007,Early Childhood Care and Education,357,409,2020
MI008,Education and Psychology - Primary Teaching,588,601,2020
MI009,"Education, Business Studies and Accounting",402,455,2020
MI010,"Education, Business Studies and Religious Studies",368,389,2020
MI011,"Education, Gaeilge and Religious Studies",409,451,2020
MI012,"Education, Gaeilge and Business Studies",401,463,2020
MI013,"Education, Mathematics and Gaeilge",444,477,2020
MI014,"Education, Mathematics and Business Studies",434,487,2020
MU001,Theology and Arts,290,349,2020
MU002,Theology,440,440,2020
NC003,Computing (Degree Award options),260,303,2020
NC005,Human Resource Management,300,331,2020
NC009,Business,300,346,2020
NC010,Psychology,400,440,2020
NC020,Marketing Practice,282,338,2020
NC022,Accounting and Finance,337,378,2020
NC023,Technology Management (with specialisations),261,282,2020
NM801,Montessori Education,220,290,2020
PC405,"Social, Political and Community Studies",216,311,2020
PC410,Arts and Humanities (fulfils Teaching Council requirements),209,300,2020
PC411,English and History (fulfils Teaching Council requirements),209,310,2020
RC001,Medicine - Undergraduate Entry (HPAT required),733,738,2020
RC004,Physiotherapy,566,567,2020
RC005,Pharmacy,578,589,2020
RC101,Medicine - Graduate Entry (GAMSAT required),61,63,2020
SG141,Business,261,347,2020
SG142,Business in International Marketing and Languages (French),279,386,2020
SG144,Business in International Marketing and Languages (Spanish),270,347,2020
SG146,Accounting,309,411,2020
SG147,Sport with Business,307,367,2020
SG148,Tourism with Event Management,269,340,2020
SG241,Performing Arts,328,387,2020
SG242,Early Childhood Care and Education,279,319,2020
SG243,Social Care Practice,301,346,2020
SG244,Fine Art,505,505,2020
SG245,Creative Design,282,339,2020
SG246,Computing,290,333,2020
SG247,English and Psychology,309,382,2020
SG248,Sociology and Politics,281,327,2020
SG249,Writing and Literature,297,368,2020
SG250,Application Design and User Experience,412,412,2020
SG251,Computing (Smart Technologies),342,367,2020
SG252,Software Development,307,319,2020
SG253,Computer Networks and Cloud Infrastructure,378,378,2020
SG254,Writing and Literature Online,225,328,2020
SG342,Civil Engineering,415,480,2020
SG343,Quantity Surveying,311,367,2020
SG346,Construction Project Management and Applied Technology,291,337,2020
SG347,Architecture,360,411,2020
SG348,Interior Architecture and Design,331,368,2020
SG442,Occupational Safety and Health,290,367,2020
SG443,Human Nutrition,356,397,2020
SG444,Science Undenominated,338,420,2020
SG445,Pharmaceutical Science with Drug Development,311,367,2020
SG447,Health Science and Physical Activity,328,387,2020
SG448,Forensic Investigation and Analysis,307,368,2020
SG449,Medical Biotechnology,341,395,2020
SG450,Environmental Science with Ecology (Level 8),304,368,2020
TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,349,2020
TL802,"TV, Radio and New Media (Level 8)",325,397,2020
TL810,Computing with Software Development,310,389,2020
TL811,Computing with Games Development,358,,2020
TL815,Computing (Degree Award options),308,360,2020
TL823,Event Management (3 year programme),299,369,2020
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,381,2020
TL844,Agricultural Engineering,300,373,2020
TL845,Civil Engineering,325,413,2020
TL847,Manufacturing Engineering,302,368,2020
TL848,Agricultural Science,308,380,2020
TL851,Wildlife Biology (Degree Award options),309,383,2020
TL855,Pharmaceutical Science (Degree Award options),317,369,2020
TL858,Veterinary Bioscience,308,393,2020
TL871,Health and Leisure (Degree Award options),300,379,2020
TL872,Health and Leisure with Massage,309,408,2020
TL873,Coaching and Sports Performance,289,329,2020
TL880,Early Childhood Care and Education,307,349,2020
TL881,Social Care,309,362,2020
TL889,Counselling with Addiction - Mature applicants only,,,2020
TL890,General Nursing and Mature Applicants,414,441,2020
TL891,Mental Health Nursing and Mature Applicants,378,399,2020
TR002,Music,382,468,2020
TR003,History,456,511,2020
TR004,Law,565,578,2020
TR005,Philosophy,442,476,2020
TR006,Psychology,555,578,2020
TR007,Clinical Speech and Language Studies,529,553,2020
TR009,Music Education,420,532,2020
TR012,History and Political Science,552,578,2020
TR015,"Philosophy, Political Science, Economics and Sociology",589,601,2020
TR016,Deaf Studies,329,377,2020
TR017,Law and Business,602,613,2020
TR018,Law and French,565,589,2020
TR019,Law and German,542,566,2020
TR020,Law and Political Science,601,613,2020
TR021,"Classics, Ancient History and Archaeology",370,434,2020
TR022,Early and Modern Irish,398,451,2020
TR023,English Studies,474,511,2020
TR024,European Studies,530,566,2020
TR025,Drama and Theatre Studies,530,581,2020
TR028,Ancient and Medieval History and Culture,342,453,2020
TR029,Political Science and Geography,510,533,2020
TR031,Mathematics,531,589,2020
TR032,Engineering,508,533,2020
TR033,Computer Science,509,545,2020
TR034,Management Science and Information Systems Studies,613,625,2020
TR035,Theoretical Physics,543,601,2020
TR038,Engineering with Management,532,556,2020
TR039,Computer Science and Language,424,488,2020
TR040,Middle Eastern and European Languages and Cultures,466,521,2020
TR041,Religion,368,418,2020
TR042,Film,466,498,2020
TR043,History of Art and Architecture,354,474,2020
TR051,Medicine (HPAT required),734,745,2020
TR052,Dental Science,613,625,2020
TR053,Physiotherapy,566,567,2020
TR054,Occupational Therapy,533,554,2020
TR055,Radiation Therapy,543,554,2020
TR056,Human Health and Disease,564,578,2020
TR060,Biological and Biomedical Sciences,543,566,2020
TR061,Chemical Sciences,510,532,2020
TR062,Geography and Geoscience,473,499,2020
TR063,Physical Sciences,477,531,2020
TR072,Pharmacy,590,613,2020
TR080,Global Business,589,601,2020
TR081,"Business, Economic and Social Studies (BESS)",543,565,2020
TR082,Computer Science and Business,555,578,2020
TR083,Sociology and Social Policy,478,513,2020
TR084,Social Studies (Social Work),462,495,2020
TR085,Business Studies and French,521,543,2020
TR086,Business Studies and German,499,518,2020
TR087,Business Studies and Russian,456,488,2020
TR089,Business Studies and Polish,424,468,2020
TR090,Business Studies and Spanish,531,542,2020
TR091,General Nursing (Meath and St James`s),429,455,2020
TR093,General Nursing (Adelaide School of Nursing),414,441,2020
TR095,Mental Health Nursing,408,430,2020
TR097,Intellectual Disability Nursing,378,398,2020
TR111,Ancient History and Archaeology/Geography,352,429,2020
TR112,Ancient History and Archaeology/History,529,,2020
TR113,Ancient History and Archaeology/History of Art and Architecture,337,477,2020
TR114,Ancient History and Archaeology/Modern Language,337,420,2020
TR117,Ancient History and Archaeology/Religion,342,368,2020
TR166,Classical Civilisation/English Literature,496,523,2020
TR173,Classical Civilisation/History of Art and Architecture,335,466,2020
TR177,Classical Civilisation/Modern Language,335,536,2020
TR179,Classical Civilisation/Philosophy,479,518,2020
TR198,Economics/Geography,534,552,2020
TR202,Economics/History,534,566,2020
TR207,Economics/Mathematics,566,601,2020
TR208,Economics/Modern Language,534,578,2020
TR209,Economics/Philosophy,534,576,2020
TR212,Economics/Sociology,534,541,2020
TR228,Classical Languages/English Literature,498,533,2020
TR231,Classical Languages/History of Art and Architecture,349,444,2020
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,566,2020
TR239,Classical Languages/Modern Language,349,349,2020
TR262,English Literature/History,529,552,2020
TR263,English Literature/History of Art and Architecture,497,533,2020
TR269,English Literature/Philosophy,495,532,2020
TR272,English Literature/Sociology,498,519,2020
TR276,English Literature/Drama Studies,476,530,2020
TR277,English Literature/Modern Language,489,543,2020
TR311,Film/Drama Studies,521,557,2020
TR312,Film/English Literature,521,541,2020
TR320,Film/Music,521,555,2020
TR322,Geography/History,529,555,2020
TR323,Drama Studies/Modern Language,473,551,2020
TR324,Film/Modern Language,521,544,2020
TR325,Film/History,529,625,2020
TR326,Geography/Modern Language,352,440,2020
TR332,Geography/Sociology,496,520,2020
TR443,History/History of Art and Architecture,529,532,2020
TR447,History/Modern Language,529,554,2020
TR449,History/Philosophy,529,543,2020
TR452,History/Sociology,529,534,2020
TR454,History/Religion,529,534,2020
TR455,History of Art and Architecture/Modern Language,334,454,2020
TR479,History of Art and Architecture/Philosophy,485,555,2020
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,473,2020
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,543,2020
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,555,2020
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,451,2020
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,2020
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,,2020
TR597,Mathematics/Modern Language,566,625,2020
TR598,Mathematics/Music,566,,2020
TR599,Mathematics/Philosophy,566,589,2020
TR629,Music/Philosophy,499,,2020
TR635,Music/Drama Studies,473,487,2020
TR636,Music/Modern Language,388,455,2020
TR638,Music/Religion,388,440,2020
TR639,Philosophy/Modern Language,499,613,2020
TR662,Philosophy/Sociology,499,531,2020
TR663,Religion/Classical Civilisation,342,591,2020
TR664,Religion/English Literature,498,565,2020
TR665,Religion/History of Art and Architecture,342,452,2020
TR666,Religion/Modern Language,,,2020
TR667,French/Modern Language,403,478,2020
TR668,German/Modern Language,389,465,2020
TR669,Irish/Modern Language,368,473,2020
TR670,Italian/Modern Language,381,466,2020
TR671,Russian/Modern Language,332,494,2020
TR672,Spanish/Modern Language,336,488,2020
TR755,Sociology/Drama Studies,498,543,2020
TR756,Sociology/Modern Language,495,510,2020
TR911,Children`s and General Nursing (Integrated),499,521,2020
TR913,Midwifery,473,508,2020
TU801,Biomedical Design,235,381,2020
TU802,Electrical Services and Energy Management,300,352,2020
TU803,Electronic Engineering,243,337,2020
TU804,Engineering (Common Entry with Award options),271,338,2020
TU805,Engineering (General Entry),402,466,2020
TU806,Sustainable Energy Engineering,262,318,2020
TU807,Computer Engineering in Mobile Systems,276,305,2020
TU808,Engineering Software,260,339,2020
TU809,Mechanical Engineering,235,347,2020
TU810,Mechatronic Engineering,271,312,2020
TU811,Product Design,411,444,2020
TU812,"Design,Technology and Innovation",270,350,2020
TU813,Automation Engineering,218,339,2020
TU814,Transport Operations and Technology,251,372,2020
TU831,Architectural Technology,410,444,2020
TU832,Architecture (Suitability Test and Interview),622,658,2020
TU833,Construction Management,367,404,2020
TU834,Geographic Science,288,357,2020
TU835,Planning and Environmental Management,313,349,2020
TU836,Property Economics (Valuation Surveying),401,433,2020
TU837,Quantity Surveying and Construction Economics,385,418,2020
TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,419,2020
TU852,Chemical Sciences with Medicinal Chemistry,476,498,2020
TU854,Science (General Entry),476,495,2020
TU855,Science with Nanotechnology,319,368,2020
TU856,Computer Science,476,487,2020
TU857,Computer Science (Infrastructure),391,419,2020
TU858,Computer Science (International),377,424,2020
TU859,Computing,217,308,2020
TU860,Computing (Information Technology),260,329,2020
TU861,Computing with Language (French/German/Spanish),308,348,2020
TU862,Computing with Data Analytics,226,288,2020
TU863,Digital Forensics and Cyber Security,280,338,2020
TU864,DNA and Forensic Analysis,390,429,2020
TU865,Computing with IT Management,226,331,2020
TU866,Biomedical and Molecular Diagnostics,487,498,2020
TU867,Biomedical Science,524,542,2020
TU868,Clinical Measurement Science,510,520,2020
TU869,Environmental Health,336,375,2020
TU870,Human Nutrition and Dietetics,578,589,2020
TU871,Optometry,509,530,2020
TU872,Public Health Nutrition,491,512,2020
TU873,Industrial Mathematics,250,392,2020
TU874,Mathematical Sciences,343,407,2020
TU875,Pharmaceutical Healthcare,400,440,2020
TU876,Pharmaceutical Science,349,391,2020
TU877,Physics Technology,308,373,2020
TU878,Physics with Energy and Environment,331,444,2020
TU879,Physics with Medical Physics and Bioengineering,351,403,2020
TU880,Physics with Data Science,,,2020
TU881,Food Innovation,318,389,2020
TU882,Nutraceuticals in Health and Nutrition,397,442,2020
TU901,Business,270,307,2020
TU902,Business (Common Entry with Award options),271,359,2020
TU903,Business and Management,463,485,2020
TU904,Business and Law,462,487,2020
TU905,Economics and Finance,465,488,2020
TU906,Human Resource Management,395,414,2020
TU907,Logistics and Supply Chain Management,300,387,2020
TU908,Management,253,337,2020
TU909,Accounting and Finance,285,326,2020
TU910,Accounting and Finance,444,466,2020
TU911,Accounting and Finance,192,319,2020
TU912,Business Analytics,330,366,2020
TU913,Business and Information Technology,252,299,2020
TU914,Business Computing,324,366,2020
TU915,International Business,252,302,2020
TU916,International Business,235,337,2020
TU917,Law (LLB ) with a Language,342,433,2020
TU918,Law (LLB),451,478,2020
TU919,Advertising and Marketing Communications,226,311,2020
TU920,Digital Marketing,270,318,2020
TU921,Digital Marketing Technologies,234,300,2020
TU922,Marketing,418,443,2020
TU923,Marketing Management,228,318,2020
TU924,E-Commerce in Retailing,307,380,2020
TU925,Retail and Services Management,301,362,2020
TU935,Sports Management and Coaching,300,347,2020
TU936,Sports Science and Health,391,419,2020
TU941,Botanical Cuisine,249,257,2020
TU942,Culinary Arts,212,340,2020
TU943,Culinary Entrepreneurship,279,357,2020
TU944,Culinary Science,316,379,2020
TU951,International Hospitality and Tourism Management,200,298,2020
TU952,International Hospitality Management,306,368,2020
TU953,Tourism and Digital Marketing,290,359,2020
TU954,Event Management,356,404,2020
TU955,Sports & Leisure Management,217,347,2020
TU961,Commercial Modern Music,608,848,2020
TU962,Drama (Performance),379,500,2020
TU963,Music,416,535,2020
TU965,International Business and Languages,346,413,2020
TU966,Languages and English Studies,434,466,2020
TU967,Languages and International Tourism,326,388,2020
TU971,Contemporary Visual Culture,290,320,2020
TU972,Creative and Cultural Industries,281,369,2020
TU973,Design - Visual Communication,717,865,2020
TU974,Fine Art,563,826,2020
TU975,Interior Design,632,879,2020
TU976,Photography,695,926,2020
TU981,Creative Digital Media,282,318,2020
TU982,Creative Digital Media,311,352,2020
TU983,Film and Broadcasting,451,484,2020
TU984,Game Design,381,419,2020
TU985,Journalism,322,377,2020
TU986,Print Media Technology and Management,289,300,2020
TU991,Applied Social Studies in Social Care,325,352,2020
TU992,Community and Youth Development,253,297,2020
TU993,Early Childhood Care and Education,270,311,2020
TU994,Early Childhood Care and Education,230,304,2020
TU995,Early Childhood Education,367,409,2020
TU996,Social Care,400,419,2020
TU997,Applied Social Care,270,318,2020
WD001,Applied Computing (options),260,413,2020
WD002,Science (options),308,388,2020
WD005,Health Sciences (options),280,338,2020
WD006,Exercise Sciences (options),280,359,2020
WD007,Engineering (options),288,409,2020
WD025,Construction Management and Engineering,269,341,2020
WD027,Music,262,409,2020
WD048,Business (options),271,371,2020
WD084,Accounting,308,411,2020
WD091,Hospitality Management,228,310,2020
WD116,General Nursing,422,451,2020
WD117,Psychiatric Nursing,366,388,2020
WD120,Intellectual Disability Nursing,377,388,2020
WD134,International Business,290,362,2020
WD137,Design (Visual Communications),271,351,2020
WD140,Laws,280,367,2020
WD144,Architecture,284,359,2020
WD147,Pharmaceutical Science,293,390,2020
WD149,Early Childhood Studies,271,368,2020
WD150,Criminal Justice Studies,270,331,2020
WD152,Visual Art,,317,2020
WD161,Computer Forensics and Security,255,380,2020
WD162,Quantity Surveying,216,306,2020
WD163,Psychology,434,473,2020
WD186,Sports Coaching and Performance,270,344,2020
WD187,Social Science,272,348,2020
WD191,Agricultural Science,377,420,2020
WD192,Social Care Practice,270,326,2020
WD193,Marketing and Digital Media,271,347,2020
WD194,Culinary Arts,217,321,2020
WD195,Architectural and Building Information Modelling Technology,279,367,2020
WD200,Arts (options),,336,2020
WD210,Software Systems Development,279,337,2020
WD211,Creative Computing,271,318,2020
WD212,Recreation and Sport Management,270,349,2020
WD230,Mechanical and Manufacturing Engineering,253,369,2020
